what do you think?,player_name,trade_date,season,trade_type,from_team,to_team,num_teams,position_group,is_pitcher,age_at_trade,contract_status,years_control_remaining,salary_m,aav_m,war_yr0,g_yr0,war_yr1,g_yr1,war_yr2,g_yr2,war_yr3,g_yr3,war_peak,covid_yr,wWAR,war_trend,trend_label,yr0_rate,avail_pct,avail_grade,peak_gap,key_pieces,return_summary,return_tier,return_prospect_grades,notes
T001,Juan Soto,8/2/2022,2022,deadline,WSN,SDP,2,OF,0,23,arb2,3,17.1,17.1,3.7,101,6.78,151,2.3,47,5.1,150,7.3,2,6.15,0.63,stable,5.93,0.929,A,1.15,"MacKenzie Gore,CJ Abrams,Robert Hassell III,James Wood,Jarlin Suarez",Franchise haul: 5 prospects incl. 2 future All-Stars,8,"P1, P1, P2, P4, P6",Josh Bell included (3.1 WAR 1B last year of control at 10 m); Soto pending arb comp case; return_tier adjusted from 10 to 8 to isolate Soto's Value
T002,Luis Castillo,7/30/2022,2022,deadline,CIN,SEA,2,SP,1,29,signed,2,7.35,7.35,2.9,14,4.2,33,1.1,12,4.2,32,5.2,2,4.2,0,stable,6.21,1.083,A+,1,"Noelvi Marte,Edwin Arroyo,Levi Stoudt,Andrew Moore",Top-20 prospect + 3 quality pieces,8,"P2, P4, P5, P6",Castillo signed 5yr/$108M extension with SEA shortly after
T003,Josh Hader,8/1/2022,2022,deadline,MIL,SDP,2,RP,1,28,arb3,1,6,6,0.7,34,2.4,60,0.7,21,2.26,61,3.1,2,2.35,0.05,stable,1.34,0.931,A,0.75,"Taylor Rogers,Esteury Ruiz,Robert Gasser,Dinelson Lamet",Two MLBers + two prospects; elite closer premium,7,"MLB-solid, P4, P5, MLB-depth",Rogers was MLB-ready closer himself; steep price for reliever
T064,Trea Turner + Max Scherzer,7/30/2021,2021,deadline,WSN,LAD,2,SS,0,28,arb3,1,13,13,4.1,96,2.8,59,4,122,4.9,162,4.9,1,4.39,-0.39,stable,6.92,0.877,B,0.51,"Gerardo Carrillo, Donovan Casey, Josiah Gray, Keibert Ruiz",Keibert Ruiz + Josiah Gray headlined 4-prospect return for dual-superstar deadline deal,7,"P6, P6, P4, P2",Rental Max Scherzer Included (3.3 war at deadline):
T006,Max Scherzer,7/31/2023,2023,deadline,NYM,TEX,2,SP,1,38,rental,0,43.3,43.3,2.1,19,4.48,23,5.37,30,2.2,12,6.1,3,4.88,-0.4,stable,3.32,0.883,B,1.22,"Luisangel Acuna,Drew Gilbert",Top-20 system prospect + catcher,4,"P3, P4",TEX signed Scherzer to absorb salary; return surprisingly solid given age
T007,Yusei Kikuchi,7/30/2024,2024,deadline,TOR,HOU,2,SP,1,33,rental,0,14,14,0.2,22,2.57,32,-1.1,32,1.08,29,1.8,,0.97,1.6,rising,0.27,1.033,A+,0.83,"Joey Loperfido,Will Wagner,Jake Bloss",Three MLB-ready/near-ready pieces,5,"P4, P5, P6",Rental with track record; Astros paid mid-tier price
T008,Jack Flaherty,7/30/2024,2024,deadline,DET,LAD,2,SP,1,28,rental,0,14,14,2.5,18,1.76,29,-0.1,9,0.8,17,2.5,,0.9,0.86,stable,4.17,0.611,D,1.6,"Thayron Liranzo, Trey Sweeney",Top-100 prospect + depth,5,"P4, P5",DET sold rental at peak value; Flaherty was lights-out in LAD postseason
T009,Danny Jansen,7/30/2024,2024,deadline,TOR,BOS,2,C,0,29,rental,0,5.2,5.2,0.6,62,1.6,86,2.9,72,1.3,70,2.9,,1.96,-0.36,stable,1.57,0.469,F,0.94,"Gilberto Batista, Cutter Coffey, Eddinson Paulino",Three players including top-30 prospect,4,"P3, P5, P6",BOS bought at deadline
T010,Justin Turner,7/30/2024,2024,deadline,TOR,SEA,2,DH,0,39,rental,0,13,13,0.3,91,1.18,146,2.3,128,4.04,151,3.5,,2.27,-1.09,declining,0.53,0.874,B,1.23,"RJ Schreck,",Fringe prospect + cash considerations,2,P6,Late-career rental with limited upside; Mariners paid minimal
T011,Kyle Tucker,12/13/2024,2025,offseason,HOU,CHC,2,OF,0,27,arb2,1,16.5,16.5,,,4.6,78,4.91,157,4.87,150,5.5,,4.77,-0.17,stable,,0.792,C,0.73,"Isaac Paredes,Cam Smith,Hayden Wesneski",MLB regular + top-75 prospect + 3B prospect,7,"MLB-solid, P2, MLB-depth","Tucker entering final 2 arb years; Paredes was short term headliner, Smith was Long-term headliner"
T012,Devin Williams,12/13/2024,2025,offseason,MIL,NYY,2,RP,1,30,arb2,1,8.6,8.6,,,0.83,22,1.81,61,2.3,65,2.6,,1.52,-0.69,stable,,0.759,C,1.08,"Nestor Cortes,Caleb Durbin",Established SP + high-upside prospect + cash,6,"MLB-solid, P4",Durbin considered long-term prize; Cortes MLB-proven starter
T013,Isaac Collins + Mears,12/13/2025,2026,offseason,MIL,KCR,2,OF,0,25,pre-arb,3,0.74,0.74,,,2.6,130,-0.3,11,,,2,,1.31,1.29,rising,,0.435,F,0.69,"Angel Zerpa,",LHP relief prospect,3,P6,Collins had NL Rookie of Month July 2025 but modest overall; Collins + Mears for Zerpa
T014,Caleb Durbin,2/9/2026,2026,offseason,MIL,BOS,2,IF,0,25,pre-arb,5,0.74,0.74,,,2.7,136,,,,,2.7,,2.7,0,stable,,0.84,B,0,"Kyle Harrison,Shane Drohan,David Hamilton",SP prospect + two depth pieces,6,"P4, P6, MLB-depth",Durbin 3rd NL ROY 2025; Red Sox sold BOS farm depth for young versatile IF
T016,Yimi Garcia,7/30/2024,2024,deadline,TOR,SEA,2,RP,1,34,rental,0,4.5,4.5,0.7,29,1.02,73,0.6,61,0.5,62,0.7,,0.75,0.27,stable,1.57,1.005,A+,-0.05,"Jonatan Clase, Jacob Sharp",Top-10 system prospect,5,"P4, P6",Clase was the steal; steep price widely criticized for a setup man
T017,Tyler Mahle,7/27/2022,2022,deadline,CIN,MIN,2,SP,1,27,signed,2,7.5,7.5,1.8,19,3.87,33,1,10,1.55,25,4.9,2,3,0.87,stable,2.84,0.967,A,1.9,"Christian Encarnacion-Strand, Steve Hajjar,Spencer Steer",Three pieces incl. top-50 prospect,6,"P3, P6, P4",Mahle had TJ; MIN bought ceiling; return was solid
T018,Luis Arraez,1/20/2023,2023,offseason,MIN,MIA,2,IF,0,27,arb1,3,6.1,6.1,,,2.66,144,1.59,121,0.8,32,4.1,3,2.18,0.48,stable,,0.818,B,1.92,"Pablo Lopez, Byron Chourio, Jose Salas",Front end Starting pitcher and prospect depth,7,"MLB-solid, P2, P4",MIN traded 2022 AL batting champion with 3 arb years remaining; MIA acquired elite contact hitter; return headlined by Pablo Lopez (front-end SP) plus prospects Salas and Chourio
T019,Juan Soto + Trent Grisham,12/1/2023,2024,offseason,SDP,NYY,2,OF,0,25,arb3,1,23,23,,,6.18,162,3.67,153,6.78,151,7.3,,5.49,0.69,stable,,0.959,A+,1.81,"Michael King,Drew Thorpe,Kyle Higashioka,Jhony Brito, Rany Vasquez",Four prospects including top pitching pieces,7,"MLB-solid, P3, MLB-depth, MLB-depth, P6",Padres moved Soto in his walk year (Included Trent Grisham) Soto Left for free agency after 1 year 
T021,Ian Kennedy + Kyle Gibson,7/29/2021,2022,deadline,TEX,PHI,2,RP,1,37,rental,0,5,5,1.2,32,-0.9,15,1.6,63,1,22,1.6,1,1.34,0.26,stable,2.44,0.654,C,0.26,"Josh Gessner, Kevin Gowdy, Spencer Howard",Cash/PTBNL,2,"P6, P6, P6",Included Hans Crouse and Kyle Gibson going to Philly
T022,Jordan Montgomery,7/31/2023,2023,deadline,STL,TEX,2,SP,1,30,rental,0,8,8,2.1,21,2.8,32,3.3,30,0.2,10,3.3,3,3.02,-0.22,stable,3,1.033,A+,0.28,"Joshua Loaisiga,",Two prospects including IFA budget,6,P4,"Montgomery was on a one-year, $10M deal with the Cardinals and was dealt to Texas with Chris Stratton and $250K in IFA pool space on July 30, 2023, with the Rangers absorbing roughly $3.5M of remaining salary. The listed key piece 'Joshua Loaisiga' does not appear in any public trade records for this deal; the actual return was Thomas Saggese (Rangers fringe top-100 infielder, org No. 11-19 at time of trade, P4), Tekoah Roby (Rangers org No. 11 pitcher, P5), and MLB reliever John King (MLB-depth). Grade reflects Saggese as the headline prospect piece. Montgomery starred in Texas's 2023 World Series run, then signed a one-year, $25M deal with Arizona in March 2024."
T023,Starling Marte,7/28/2021,2021,deadline,MIA,OAK,2,OF,0,32,signed,1,12.5,12.5,2.9,64,1.6,61,3.67,132,3.9,145,3.9,1,3.77,-0.1,stable,7.34,0.855,B,0.13,Jesus Luzardo,MLB SP (Jesus Luzardo) to MIA; OAK acquired OF quickly,5,MLB-depth,MIA received Luzardo (MLB SP); OAK also covered ~$4M of Marte remaining salary; Marte signed with NYM as FA after 2021 season (4yr/$78M)
T025,Lucas Giolito + Reynaldo Lopez,8/1/2023,2023,deadline,CWS,LAA,2,SP,1,28,rental,0,10.4,9,2.7,21,1.76,30,4.3,31,0.8,12,4.3,3,2.89,-1.13,declining,3.86,1.017,A,1.41,"Ky Bush, Edgar Quero",Top-100 National prospect + Top 5 system Prospect,6,"P4, P4",Package Trade: Reynaldo Lopez included (1.5 WAR RP) CWS sell-off; Giolito struggled with Angels and was dfa'd 1 month later
T027,Kris Bryant,7/30/2021,2021,deadline,CHC,SFG,2,3B,0,29,rental,0,19.5,19.5,2.3,93,0.4,34,4.4,147,2.5,102,4.4,1,3.59,0.81,stable,4.01,0.769,C,0.81,"Caleb Kilian,Alexander Canario,",Three prospects,6,"P5, P4",Rental premium on star 3B; Giants won WS-best record that year
T028,Matt Olson,3/11/2022,2022,offseason,OAK,ATL,2,1B,0,28,signed,7,5,21,,,4.96,156,1.3,60,3.81,127,5.9,2,4.53,0.43,stable,,0.873,B,1.37,"Shea Langeliers,Ryan Shinn,Joey Estes,Greyson Jenista,",Five players incl. top-25 prospect,8,"P2, P6, P5, P6",ATL locked in Olson immediately with 8yr/$168M; return reflected 7yr control
T029,Jose Berrios,7/30/2021,2021,deadline,MIN,TOR,2,SP,1,27,arb3,1,6.1,6.1,1.9,20,0.7,12,4.35,32,3.5,32,3.6,1,3.99,0.36,stable,2.85,1.067,A+,-0.39,"Austin Martin,Simeon Woods Richardson",Top-10 national prospect + SP prospect,7,"P1, P4",TOR extended Berrios immediately 7yr/$131M; Martin was #5 overall 2020 draft
T030,Francisco Lindor,1/7/2021,2021,offseason,CLE,NYM,2,SS,0,27,arb3,1,22.3,22.3,,,1.3,60,6.06,143,7.3,158,7.3,1,6.59,-0.53,stable,,0.929,A,0.71,"Amed Rosario,Andres Gimenez,Josh Wolf, Isaiah Greene",2 good prospects and depth,6,"MLB-solid, MLB-depth, P5, P4",Carlos Carrasco Included (1.4 war in 12 gs in 2020 and 2 years 27 mil left and 2023 11 mil club option) NYM extended Lindor 10yr/$341M weeks later; return_tier adjusted from 8 to 6 to isolate Lindor's Value
T031,Manny Machado,7/18/2018,2018,deadline,BAL,LAD,2,SS,0,26,rental,0,16,16,3.6,96,4.1,156,7.4,157,7.3,162,7.4,,6,-1.9,declining,6.08,0.977,A+,1.4,"Yusniel Diaz,Dean Kremer,Rylan Bannon,Zach Pop,Breyvic Valera",Top-100 prospect + four depth pieces,7,"P3, P6, P6, P6, MLB-depth",Half-season rental of a generational player; Kremer became solid MLB starter
T032,Teoscar Hernandez,11/16/2022,2023,offseason,TOR,SEA,2,OF,0,30,arb3,1,14,14,,,3,131,4.04,143,1.5,50,3.5,3,3.46,-0.46,stable,,0.846,B,0.04,"Erik Swanson,Adam Macko",MLB closer + Top 20 System pitching prospect,6,"MLB-solid, P5",Swanson was proven MLB closer; SEA bought 1yr of corner OF control cheaply
